address_id,postcode,state,country,number_street,street
0,2016,New South Wales,Australia,060,Morning Avenue
1,2153,New South Wales,Australia,6,Meadow Vale Court
2,4211,QLD,Australia,0,Holy Cross Court
3,2448,New South Wales,Australia,17979,Del Mar Point
4,3216,VIC,Australia,9,Oakridge Court
5,2210,New South Wales,Australia,4,Delaware Trail
6,2650,New South Wales,Australia,49,Londonderry Lane
7,2023,New South Wales,Australia,97736,7th Trail
8,3044,VIC,Australia,93405,Ludington Park
9,4557,QLD,Australia,44339,Golden Leaf Alley
10,3799,VIC,Australia,2,Sutherland Street
11,2760,New South Wales,Australia,9,Mcbride Trail
12,2428,New South Wales,Australia,9861,New Castle Avenue
13,3331,VIC,Australia,52,Moland Street
14,3058,VIC,Australia,82391,Kensington Lane
15,2135,New South Wales,Australia,092,2nd Alley
16,2233,New South Wales,Australia,59,Spaight Circle
17,2444,New South Wales,Australia,032,Bartelt Crossing
18,2650,New South Wales,Australia,18,Jenna Center
19,2153,New South Wales,Australia,3,Cordelia Plaza
20,4413,QLD,Australia,28,5th Center
21,4740,QLD,Australia,52,Carey Alley
22,3218,VIC,Australia,96,Texas Plaza
23,4868,QLD,Australia,48,Eagan Avenue
24,4116,QLD,Australia,9,Buell Park
25,2519,New South Wales,Australia,02663,Buell Parkway
26,2135,New South Wales,Australia,2294,Pleasure Place
27,2756,New South Wales,Australia,2951,Petterle Place
28,2170,New South Wales,Australia,63,Lukken Drive
29,4005,QLD,Australia,833,Luster Way
30,4127,QLD,Australia,34,Russell Plaza
31,2535,New South Wales,Australia,78,Del Sol Hill
32,4726,QLD,Australia,54,Sage Plaza
33,4805,QLD,Australia,90,Lawn Parkway
34,2212,New South Wales,Australia,38726,Ilene Crossing
35,2207,New South Wales,Australia,3496,Brown Drive
36,3350,VIC,Australia,7188,Cody Way
37,3931,VIC,Australia,1,Claremont Park
38,4018,QLD,Australia,60,Eagan Circle
39,4670,QLD,Australia,89314,Eagle Crest Center
40,2480,New South Wales,Australia,2028,Lakewood Place
41,3212,VIC,Australia,70875,Hudson Point
42,2322,New South Wales,Australia,543,Killdeer Park
43,3198,VIC,Australia,22125,Ramsey Drive
44,2210,New South Wales,Australia,3107,Calypso Terrace
45,2047,New South Wales,Australia,957,Veith Junction
46,4503,QLD,Australia,4853,Gulseth Avenue
47,2145,New South Wales,Australia,9,Michigan Terrace
48,4350,QLD,Australia,62,Steensland Road
49,2142,New South Wales,Australia,6,Homewood Avenue
50,2029,New South Wales,Australia,15,Almo Lane
51,2127,New South Wales,Australia,690,Glacier Hill Circle
52,4280,QLD,Australia,89787,Village Green Terrace
53,2166,New South Wales,Australia,18,Elgar Park
54,2046,New South Wales,Australia,413,Mayer Street
55,2026,New South Wales,Australia,39,3rd Drive
56,2765,New South Wales,Australia,44516,Katie Parkway
57,2749,New South Wales,Australia,41,Schurz Center
58,2745,New South Wales,Australia,68150,Boyd Road
59,3752,VIC,Australia,11474,Westend Hill
60,2153,New South Wales,Australia,308,Jana Crossing
61,2217,New South Wales,Australia,163,Straubel Trail
62,2230,New South Wales,Australia,68294,Clarendon Crossing
63,3046,VIC,Australia,486,Mariners Cove Plaza
64,3183,VIC,Australia,0322,Dryden Court
65,2070,New South Wales,Australia,9,Bonner Road
66,2213,New South Wales,Australia,07041,Briar Crest Lane
67,4208,QLD,Australia,29466,Hanson Pass
68,2774,New South Wales,Australia,0212,Forest Run Trail
