id,product_id,brand,product_class,product_line,product_size
0,2,Solex,medium,Standard,medium
1,3,Trek Bicycles,medium,Standard,large
2,37,OHM Cycles,low,Standard,medium
3,88,Norco Bicycles,medium,Standard,medium
4,78,Giant Bicycles,medium,Standard,large
5,25,Giant Bicycles,medium,Road,medium
6,22,WeareA2B,medium,Standard,medium
7,15,WeareA2B,medium,Standard,medium
8,67,Solex,medium,Standard,large
9,12,WeareA2B,medium,Standard,medium
10,5,Trek Bicycles,low,Mountain,medium
11,61,OHM Cycles,low,Standard,medium
12,35,Trek Bicycles,low,Standard,medium
13,16,Norco Bicycles,high,Standard,small
14,12,Giant Bicycles,medium,Standard,large
16,79,Norco Bicycles,medium,Standard,medium
17,33,Giant Bicycles,medium,Standard,small
18,54,WeareA2B,medium,Standard,medium
20,27,Trek Bicycles,medium,Standard,medium
23,82,Giant Bicycles,medium,Road,medium
24,89,WeareA2B,medium,Touring,large
25,64,Trek Bicycles,medium,Standard,large
27,19,Trek Bicycles,low,Mountain,medium
28,72,Norco Bicycles,medium,Standard,medium
29,91,WeareA2B,low,Standard,medium
31,1,Giant Bicycles,medium,Standard,medium
33,99,Trek Bicycles,low,Road,small
34,0,Norco Bicycles,medium,Road,medium
35,92,WeareA2B,medium,Standard,small
36,14,Solex,high,Standard,large
40,44,WeareA2B,medium,Standard,medium
41,79,Solex,medium,Touring,large
42,76,WeareA2B,low,Standard,medium
43,46,Solex,low,Standard,medium
44,55,Trek Bicycles,medium,Road,large
45,66,Solex,medium,Standard,medium
47,81,Solex,medium,Standard,medium
48,86,OHM Cycles,medium,Standard,medium
49,32,Giant Bicycles,medium,Standard,medium
50,77,Norco Bicycles,medium,Road,large
51,96,Giant Bicycles,medium,Standard,large
52,6,OHM Cycles,high,Standard,medium
54,0,Norco Bicycles,low,Standard,medium
55,47,Trek Bicycles,low,Road,small
56,94,Giant Bicycles,medium,Standard,large
57,91,Solex,medium,Standard,medium
58,93,OHM Cycles,high,Standard,medium
59,60,Giant Bicycles,high,Standard,small
60,0,OHM Cycles,high,Road,large
62,35,Giant Bicycles,medium,Standard,medium
63,0,Trek Bicycles,medium,Standard,medium
64,28,Norco Bicycles,medium,Standard,small
67,4,Giant Bicycles,high,Standard,medium
68,38,Trek Bicycles,medium,Standard,large
71,77,WeareA2B,medium,Standard,medium
73,56,OHM Cycles,medium,Standard,medium
74,58,OHM Cycles,medium,Standard,medium
76,50,WeareA2B,medium,Standard,small
77,80,OHM Cycles,low,Touring,medium
78,87,Giant Bicycles,high,Standard,medium
79,15,Norco Bicycles,low,Standard,medium
80,84,Giant Bicycles,medium,Road,medium
81,21,Solex,medium,Standard,large
82,0,OHM Cycles,medium,Standard,medium
84,84,Trek Bicycles,medium,Road,medium
87,31,WeareA2B,medium,Standard,medium
